id,sourceLang,targetLang,sourceString,targetString
119,en,fr_XX,good respiratory hygiene,bonne hygiène respiratoire
120,en,fr_XX,Guangdong,Guangdong
121,en,fr_XX,H1N1,H1N1
122,en,fr_XX,H1N1 virus,virus H1N1
123,en,fr_XX,hand disinfectant,désinfectant pour les mains
124,en,fr_XX,hand sanitizer,désinfectant pour les mains
125,en,fr_XX,health care provider,prestataire de soins
126,en,fr_XX,health crisis,crise sanitaire
127,en,fr_XX,health plan carrier,assurance maladie
128,en,fr_XX,health services,services de santé
129,en,fr_XX,heart failure,insuffisance cardiaque
130,en,fr_XX,high fever,forte fièvre
131,en,fr_XX,HIV,VIH
132,en,fr_XX,hospitalize,hospitaliser
133,en,fr_XX,household bleach,eau de Javel domestique
134,en,fr_XX,Hubei,Hubei
135,en,fr_XX,hydrogen peroxide,peroxyde d'hydrogène
136,en,fr_XX,hygiene,hygiène
137,en,fr_XX,immune system,système immunitaire
138,en,fr_XX,immunity,immunité
139,en,fr_XX,immunocompromised,immunodéprimé
140,en,fr_XX,immunologist,immunologiste
141,en,fr_XX,incubation,incubation
142,en,fr_XX,incubation period,période d'incubation
143,en,fr_XX,indirect contact,contact indirect
144,en,fr_XX,infect,infecter
145,en,fr_XX,infection,infection
146,en,fr_XX,infectious,infectieux
147,en,fr_XX,infectivity,infectivité
148,en,fr_XX,influenza,grippe
149,en,fr_XX,initial transmission event,événement de transmission initial
150,en,fr_XX,intensive care equipment,équipement de soins intensifs
151,en,fr_XX,intermediate host,hôte intermédiaire
152,en,fr_XX,intrauterine,intra-utérin
153,en,fr_XX,intubation,intubation
154,en,fr_XX,isolation,isolation
155,en,fr_XX,Isopropanol,Isopropanol
156,en,fr_XX,laboratory test kit,kit de test en laboratoire
157,en,fr_XX,laboratory testing,test en laboratoire
158,en,fr_XX,lack of testing,manque de test
159,en,fr_XX,lack of tests,manque de tests
160,en,fr_XX,latest updates,dernières mises à jour
161,en,fr_XX,liver failure,insuffisance hépatique
162,en,fr_XX,local public health authority,autorité locale de santé publique
163,en,fr_XX,lockdown,confinement
164,en,fr_XX,lungs,poumons
165,en,fr_XX,masks,masques
166,en,fr_XX,measles,rougeole
167,en,fr_XX,mechanical ventilation,ventilation mécanique
168,en,fr_XX,media coverage,couverture médiatique
169,en,fr_XX,medical care,soins médicaux
170,en,fr_XX,MERS,MERS
171,en,fr_XX,MERS CoV,MERS CoV
172,en,fr_XX,microbiologist,microbiologiste
173,en,fr_XX,mild cough,toux bénigne
174,en,fr_XX,mortality rate,taux de mortalité
175,en,fr_XX,multi-organ failure,défaillance de plusieurs organes
176,en,fr_XX,nasal congestion,congestion nasale
177,en,fr_XX,neutral detergent,détergent neutre
178,en,fr_XX,new normal,nouvelle norme
179,en,fr_XX,novel corona virus,nouveau coronavirus
180,en,fr_XX,novel coronavirus,nouveau coronavirus
181,en,fr_XX,novel coronavirus outbreak,nouvelle épidémie de coronavirus
182,en,fr_XX,novel virus,nouveau virus
183,en,fr_XX,online medical consultation,consultation médicale en ligne
184,en,fr_XX,onset,début
185,en,fr_XX,outbreak,épidémie
186,en,fr_XX,outbreak readiness,préparation aux épidémies
187,en,fr_XX,overall case fatality,nombre total de décès
188,en,fr_XX,pandemic,pandémie
189,en,fr_XX,pangolin,pangolin
190,en,fr_XX,pathogen,pathogène
191,en,fr_XX,pathology,pathologie
192,en,fr_XX,patient care equipment,équipements de soins aux patients
193,en,fr_XX,personal protective equipment,équipement de protection individuelle
194,en,fr_XX,person-to-person transmission,transmission de personne à personne
195,en,fr_XX,phlegm,mucus
196,en,fr_XX,physical contact,contact physique
197,en,fr_XX,plague,peste
198,en,fr_XX,pneumonia,pneumonie
199,en,fr_XX,pneumonias,pneumonies
200,en,fr_XX,positive test,test positif
201,en,fr_XX,precaution,précaution
202,en,fr_XX,precautionary,préventif
203,en,fr_XX,pre-existing condition,état préexistant
204,en,fr_XX,preparedness,préparation
205,en,fr_XX,prognosis,pronostic
206,en,fr_XX,protect myself,me protéger
207,en,fr_XX,protect others,protéger les autres
208,en,fr_XX,protect yourself,protégez-vous
209,en,fr_XX,protective measures,mesures de protection
210,en,fr_XX,public health crisis,crise de santé publique
211,en,fr_XX,pulmonary tissue damage,lésion des tissus pulmonaires
212,en,fr_XX,quarantine,quarantaine
213,en,fr_XX,rapid risk assessment,évaluation rapide des risques
214,en,fr_XX,reagent,réactif
215,en,fr_XX,regular flu,grippe ordinaire
216,en,fr_XX,reinfection,réinfection
217,en,fr_XX,renal disease,maladie rénale
218,en,fr_XX,renal failure,insuffisance rénale
219,en,fr_XX,respirator,appareil respiratoire
220,en,fr_XX,respiratory,respiratoire
221,en,fr_XX,respiratory disease,maladie respiratoire
222,en,fr_XX,respiratory distress,détresse respiratoire
223,en,fr_XX,respiratory droplets,gouttelettes respiratoires
224,en,fr_XX,respiratory hygiene,hygiène respiratoire
225,en,fr_XX,respiratory illness,maladie respiratoire
226,en,fr_XX,respiratory syndrome,syndrome respiratoire
227,en,fr_XX,respiratory tract disease,maladie des voies respiratoires
228,en,fr_XX,restrictions,restrictions
229,en,fr_XX,resurge,resurgir
230,en,fr_XX,RNA,ARN
231,en,fr_XX,rubeola,rubéole
232,en,fr_XX,runny nose,nez qui coule
233,en,fr_XX,SARS,SARS
234,en,fr_XX,SARS-CoV-2,SARS-CoV-2
235,en,fr_XX,SARS-CoV,SARS-CoV
236,en,fr_XX,sars-related coronavirus,Coronavirus lié au SARS
237,en,fr_XX,seasonal flu,grippe saisonnière
238,en,fr_XX,seasonal influenza,grippe saisonnière
239,en,fr_XX,secretion,sécrétion
240,en,fr_XX,self-quarantine,quarantaine spontanée
241,en,fr_XX,sepsis,septicémie
242,en,fr_XX,septic shock,choc septique
243,en,fr_XX,Severe Acute Respiratory Syndrome,Syndrome respiratoire aigu sévère
244,en,fr_XX,shortness of breath,essoufflement
245,en,fr_XX,sickened,malade
246,en,fr_XX,sickness,maladie
247,en,fr_XX,sneeze,éternuement
248,en,fr_XX,sneezes,éternuements
249,en,fr_XX,sneezing,éternuer
250,en,fr_XX,social distancing,distanciation sociale
251,en,fr_XX,sore throat,maux de gorge
252,en,fr_XX,spanish flu,grippe espagnole
253,en,fr_XX,specimen collection,prélèvement d'échantillons
254,en,fr_XX,spread,propagation
255,en,fr_XX,sputum,crachat
256,en,fr_XX,stigmatisation,stigmatisation
257,en,fr_XX,supportive,favorable
258,en,fr_XX,surface,surface
259,en,fr_XX,surfaces,surfaces
260,en,fr_XX,suspected infection,infection suspectée
261,en,fr_XX,swab,prélèvement
262,en,fr_XX,swine flu,grippe porcine
263,en,fr_XX,symptom,symptôme
264,en,fr_XX,symptomatic,symptomatique
265,en,fr_XX,symptoms,symptômes
266,en,fr_XX,targeted disinfection,désinfection ciblée
267,en,fr_XX,test kit,kit de test
268,en,fr_XX,testing error,erreur de test
269,en,fr_XX,tissue damage,lésions tissulaires
270,en,fr_XX,tp shortage,pénurie de PQ
271,en,fr_XX,toilet paper shortage,pénurie de papier toilette
272,en,fr_XX,touch,toucher
273,en,fr_XX,touching,touchant
274,en,fr_XX,transmissibility,transmissibilité
275,en,fr_XX,transmissible,transmissible
276,en,fr_XX,transmission,transmission
277,en,fr_XX,transmission potential,potentiel de transmission
278,en,fr_XX,typical flu,grippe typique
279,en,fr_XX,underlying disease,maladie sous-jacente
280,en,fr_XX,updates,mises à jour
281,en,fr_XX,vaccine,vaccin
282,en,fr_XX,vaccines,vaccins
283,en,fr_XX,ventilation,ventilation
284,en,fr_XX,ventilator,ventilateur
285,en,fr_XX,ventilators,ventilateurs
286,en,fr_XX,viral infection,infection virale
287,en,fr_XX,viral outbreak,épidémie virale
288,en,fr_XX,viral pandemic,pandémie virale
289,en,fr_XX,viral pneumonia,pneumonie virale
290,en,fr_XX,virtual care,soins virtuels
291,en,fr_XX,virulence,virulence
292,en,fr_XX,virus itself,le virus lui-même
293,en,fr_XX,virus outbreak,épidémie virale
294,en,fr_XX,virus scare,peur des virus
295,en,fr_XX,virus spreads,le virus se propage
296,en,fr_XX,virus strain,souche virale
297,en,fr_XX,viral transmission,transmission virale
298,en,fr_XX,vivid-19,vivid-19
299,en,fr_XX,washing hands,se laver les mains
300,en,fr_XX,washing ones hands,se laver les mains
301,en,fr_XX,wash your hands,se laver les mains
302,en,fr_XX,white blood cell count,numération leucocytaire
303,en,fr_XX,widespread transmission,transmission généralisée
304,en,fr_XX,working from home,travailler à domicile
305,en,fr_XX,WFH,Télétravail
306,en,fr_XX,Wuhan,Wuhan
